text,label,idx
Kinnear resigns as Nottingham Forest manager Joe Kinnear resigned Thursday as manager of struggling League Championship side Nottingham Forest. Kinnear took over at the City Ground in February and steered Forest out of relegation danger last season.,1,33
"Bears quarterback Grossman undergoes MRI for knee September 27, 2004 - Chicago quarterback Rex Grossman injured his right knee late in the fourth quarter of the Bears #39; 27-22 loss to Minnesota on Sunday.",1,34
"NBA Wrap: James Leads Cavaliers Past Pistons LeBron James scored a career-high 43 points to lead the Cleveland Cavaliers to their seventh win in eight games, a 92-76 home victory over the stuttering Detroit Pistons on Wednesday.",1,35
"Yankees leave Giambi off playoff roster New York decided to carry 11 pitchers for the best-of-five series, including both Orlando Hernandez and Kevin Brown, candidates to start Games 3 or 4 along with Javier Vazquez.",1,36
"Casey shines in England golf win Paul Casey, with another inspired putting display, and Luke Donald have earned England a one-shot victory over home favourites Spain in the WGC-World Cup of Golf.",1,37
"Vikings Give 49ers Third Straight Loss (AP) AP - With their starters playing into the second half, the Minnesota Vikings looked as if they would easily overmatch the depleted San Francisco 49ers.",1,38
"Bobcats Edge Hornets, 94-93 (Overtime) (AP) AP - Emeka Okafor hit a pair of free throws with 5 seconds left in overtime to give Charlotte's new NBA team a win over its old one as the Bobcats pulled out a 94-93 win over the New Orleans Hornets on Tuesday night.",1,39
"Coming off break, Horns less than sharp Coming off an eight-day break for final exams, 14th-ranked Texas had as its first assignment a non-conference match with Texas-Arlington.",1,40
BLUELINES: European-bound NHLers labeled as scabs Does the H in NHLPA stand for Hypocrites? Ex-Rangers netminder Corey Hirsch thinks so. The goalie rips so-called  quot;union quot; members who #39;ve pushed him and more than a hundred others out of European jobs.,1,41
"Red-hot Oswalt gets nod in Game 2 How many teams can save a 20-game winner for Game 2 of a playoff series? One. And with Roy Oswalt set for a postseason start four years in the making, the Houston Astros are feeling pretty good.",1,42
Gibbs bothered by questionable Monday night calls Apparently even a Hall of Fame coach doesn #39;t get a break from the officials. Washington Redskins coach Joe Gibbs on Tuesday reviewed the tape of the previous night #39;s loss to the Dallas Cowboys and determined he was on the wrong side of  quot;two awful calls.,1,43
"Italy remains calm after loss to Slovenia Italy was upset, although not altogether distraught, after its first loss in World Cup qualifying. Slovenia beat the Azzurri 1-0 in Celje on substitute Bostjan Cesar #39;s 82nd-minute header.",1,44
"Palmer magical at Funai Classic He chipped in on one hole and then rolled in a long, downhill putt for another birdie a little later. During the stretch in which he seized control of the golf tournament ",1,45
"Arsenal eye six-point start in Europe Arsenal take their Champions League hopes to Norway on Wednesday, looking for another three points from Rosenborg Trondheim that would put them firmly on track to reach the knockout phase.",1,46
"Bekele Succeeds Mentor Gebrselassie  ATHENS (Reuters) - Ethiopian Kenenisa Bekele succeeded his  mentor Haile Gebrselassie as the Olympic 10,000 meters champion  Friday after an astonishing final lap in the longest track  event.",1,47
"Abdallah falls in taekwondo final Nia Abdallah #39;s lack of international experience turned out to be her biggest asset in the Olympic taekwondo tournament.  quot;I don #39;t think anybody expected me to do anything here, quot; she said.",1,48
"Suns Sting Hornets 95-86 (AP) AP - Shawn Marion had a season-high 33 points and 15 rebounds, leading the Phoenix Suns on a fourth-quarter comeback despite the absence of Steve Nash in a 95-86 win over the New Orleans Hornets on Friday night.",1,49
"Sprinter Young banned for life Sprinter Jerome Young, a central figure in a doping case that could cost the US relay team its gold medal from Sydney, was banned for life by the US Anti-Doping Agency yesterday following his second positive test for a banned drug.",1,50
"Reds Keep Braves From Clinching NL East (AP) AP - Gabe White earned his first save in over four years, preserving the Cincinnati Reds' 3-2 win over Atlanta on Thursday night and preventing the Braves from clinching another division title.",1,51
"Reality of Steelers Puts a Quick End to the Bills' Dream Buffalo's offense, which had led the way to six straight victories, was inefficient in a defeat to Pittsburgh.",1,52
"Dumais advances in 3m springboard; Despatie top qualifier Athens, Greece (Sports Network) - Alexandre Despatie of Canada was the top qualifier as he moved into the semifinals of the men #39;s 3-meter springboard diving competition on Monday.",1,53
"Pollock joins elite list of Test all rounders Calcutta, India - South Africa #39;s Shaun Pollock became only the fifth player in Test history to take 300 wickets and score 3 000 runs on the fifth day of the second and final Test against India on Thursday.",1,54
B-R's risk was worth the reward Bridgewater-Raynham coach Dan Buron better throw his copy of Kenny Rogers'  quot;The Gambler quot; into the CD player and drive over to Foxwoods.,1,55
Arsenal 2-2 Bolton Heaven help the Arsenal players when they do eventually lose their very long unbeaten run. It stayed intact yesterday to 46 matches but it didnt stop a clearly frustrated Arsene Wenger claiming that his ,1,56
"Mickelson, Woods team up to lead off US at Ryder Cup BLOOMFIELD TOWNSHIP, Mich.  Impeccably attired in a dark suit and gold-and-blue patterned necktie, American captain Hal Sutton struck the look of a Wall Street mogul Thursday when he announced ",1,57
Liverpool lose out to Bolton 1-0 Kevin Davies scored a first-half winner against Liverpool to push Bolton up into third place in the Premiership. Davies was Bolton #39;s hero when he coolly gathered and powered in a shot into the goal in the ,1,58
"Team deal could help British GP All of Formula One #39;s 10 teams, with the exception of Ferrari, have signed up to a cost-cutting scheme which could save the threatened British Grand Prix.",1,59
No words can explain outcome Purdue receiver Taylor Stubblefield found inspiration in some comments he read from Notre Dame cornerback Dwight Ellick before Saturday #39;s football game.,1,60
Golden Bears Focus on Archrival Stanford (AP) AP - J.J. Arrington and his California teammates are on the verge of so many remarkable accomplishments that it might be impossible not to think ahead to New Year's Day or beyond.,1,61
"Young Rebuffs NBA, Sticks With Rangers (AP) AP - Chris Young never expected to have to choose again between baseball and basketball. The Texas Rangers helped make it an easy decision for the 6-foot-10 pitcher.",1,62
"Singh Snares PGA Title Vijay Singh outlasts Justin Leonard and Chris DiMarco in a three-way playoff to win the PGA Championship on Sunday at Whistling Straits in Haven, Wisconsin.",1,63
"This weekend on TV, radio TODAY AUTO RACING 4 p.m. -- NASCAR Nextel Cup Checker Auto Parts 500 qualifying at Avondale, Ariz., Speed Channel 5 p.m. -- NASCAR Craftsman Trucks Chevy Silverado 150 at Avondale, Ariz., Speed Channel PRO BASKETBALL 7:30 p.m. -- Celtics vs. Indiana at the FleetCenter, FSN, WWZN (1510) 8 p.m. -- Houston at Memphis, ESPN 10:30 p.m. -- San Antonio at ...",1,64
El Duque seeks to stay unbeaten for Yanks NEW YORK - Orlando Hernandez will try to continue his unbeaten season when the AL East-leading New York Yankees close out a three-game series with the Toronto Blue Jays.,1,65
"Huskies score a lopsided win BROOKLINE -- By halftime, with a 41-0 lead over Cheyney University, the only question that remained for Northeastern was whether the final score of this year's season opener at Parsons Field would exceed last year's 78-6 shellacking of Stonehill.",1,66
"Cayard's hopes stalled; Tornado duo eyes medal ATHENS -- A disappointed Paul Cayard embraced the Star Class gold medalist, Brazil's Torben Grael, yesterday as they came off the water and assessed his own chances to leave Athens with a medal.",1,67
"Buckeyes screwed over by postseason ban Members of the new Ohio State basketball staff have worked on fixing their current team for nearly six months. From the outside, it hasn #39;t seemed that long, but it probably felt like a year or more to the ",1,68
Premiership roundup LONDON - Chelsea claimed its fourth straight win of the season by beating Southampton 2-1 on Saturday while Alan Smith scored a controversial late equalizer for Manchester United to draw 1-1 at Blackburn.,1,69
Byrd ties Sluman for Chrysler lead Jonathan Byrd shot his second successive five-under-par 66 on Friday and joined Jeff Sluman on top of the leader board after two rounds at the Chrysler Championship.,1,70
"France Shocks Russia to 1-1 Tie at Fed Cup Prior to her opening-round match in the Fed Cup final Saturday, Svetlana Kuznetsova said her loss to Nathalie Dechy in their lone meeting last January was an anomaly, since it was before she became US OPEN WINNER SVETLANA KUZNETSOVA.",1,71
"In The Fast Lane: Busch wins NASCAR title HOMESTEAD, Fla. -- Kurt Busch got his first big break in NASCAR by winning a 1999 talent audition nicknamed  quot;The Gong Show. quot; He was selected from dozens of unknown, young race drivers to work for one of the sport #39;s most famous team owners, Jack Roush.",1,72
"Cink Takes Commanding Lead Over Woods at NEC  AKRON, Ohio (Reuters) - Stewart Cink was on the verge of  his fourth career win after shooting a two-under-par 68 for a  five-shot lead in the third round of the \$7 million NEC  Invitational Saturday.",1,73
White Could Join Griffin in Heisman Club (AP) AP - Archie Griffin has stood alone for 29 years as the only two-time Heisman Trophy winner. Oklahoma quarterback Jason White has a chance to match the former Ohio State tailback Saturday night.,1,74
"Pennington proving to be the real deal It took a while for everything to fall into place, but it now seems clear: Chad Pennington is the real deal. Listen LIVE to NFL games, plus watch video news and features of your favorite team.",1,75
"Jets remain unbeaten The New York Jets are 4-0 for the second time in their 45-year history, but they know that the road ahead is bound to be more difficult to travel.",1,76
"Bryant case seen as plagued from start EAGLE, Colo. -- The rape case against Kobe Bryant finally fell to pieces shortly after 11 a.m. Wednesday, when his accuser called District Attorney Mark Hurlbert to say she had had enough and would no longer cooperate. The call set in motion a series of events that ended with the charges being thrown out little more than eight hours later.",1,77
"Not how they planned it Im surprised about the whole ordeal. It wasnt supposed to be like that, Williams said. Not after the Giants put 22 new faces on their active roster, brought ",1,78
"Ohio State Beats Indiana, 30-7 COLUMBUS, Ohio - Ohio State quarterback Troy Smith threw for two touchdowns, Antonio Pittman rushed for one touchdown and kicker Mike Nugent converted three field goal tries to lead the Buckeyes to a 30-7 victory over Indiana Saturday in front of 104,538 ",1,79
Overtime Goal Puts Canada in World Cup Hockey Final  TORONTO (Reuters) - Vincent Lecavalier's goal 3:45 into  overtime earned Canada a nail-biting 4-3 victory over the Czech  Republic on Saturday and a place in the final of the World Cup  of Hockey.,1,80
"Olympics: China reaffirms status as most powerful force in table &lt;b&gt;...&lt;/b&gt; ATHENS : China reaffirmed its status as the most powerful force in world table tennis with three golds at the Athens Olympics, but South Korean Ryu Seung-Min ruined the Asian giant #39;s campaign for total dominance.",1,81
"Europe's Ryder Team Is Set Colin Montgomerie, who has had a tough year, took a turn for the better Sunday, when he was chosen to play in his seventh Ryder Cup.",1,82
"Shot putters return to ancient site of first Games OLYMPIA, GREECE - It was a day when the actors took a back seat to the scenery, when the question of who won and who took part was not as significant as where they competed. ",1,83
"Dolphins #39; DT Chester out for season with knee injury Miami Dolphins defensive tackle Larry Chester will miss the rest of the season because of a torn ligament in his right knee, his agent said Monday.",1,84
"Kastor takes bronze in marathon; Japan #39;s Noguchi wins American Deena Kastor crosed the finish line crying as she captured the bronze medal in the marathon Sunday. She finished the course in 2 hours, 27 minutes, 19 seconds.",1,85
"Fiorentina, Atalanta Win at Italian Cup (AP) AP - Fiorentina, Atalanta, Messina and Livorno all won their first-round matches of the Italian Cup on Sunday, stepping closer to qualification for the next round.",1,86
Liverpool confirm Cisse out for season Liverpool and France striker Djibril Cisse has been ruled out for the rest of the season after breaking his leg in Saturday #39;s 2-2 draw at Blackburn Rovers.,1,87
"Cannons find target in rout The Boston Cannons said they weren't looking for revenge last night against the Baltimore Bayhawks, who drubbed the Cannons in their penultimate game of the season. That's what they said.",1,88
Giants Top Phillies 3-1 to Finish Sweep (AP) AP - Brett Tomko allowed one run in six innings for his first win in nearly a month and helped San Francisco complete a three-game sweep of the Philadelphia Phillies with a 3-1 victory Sunday.,1,89
"Gophers rumble past PSU Late last night in their game against Minnesota, the Penn State Nittany Lions needed to make a comeback. More appropriately, they needed their offense.",1,90
"Doubt removed: Steelers simply looking Super Two weeks ago, the NFL was as certain and predictable as a German train schedule. All you needed to do was page ahead to February to see which two trains were going to meet at the Super Bowl station.",1,91
McNamara likely to return to action in six weeks CELTIC received a boost yesterday with the news that Jackie McNamara should be back in action within six weeks. The Celtic captain was stretchered off in the second half of the 3-1 Champions League defeat ,1,92
Cricket: England tour hangs in the balance England were ordered to stay in South Africa rather than fly to Zimbabwe yesterday after the Harare government barred most British media from covering their five-match cricket tour.,1,93
McIlroy stars for Europe Holywood #39;s Rory McIlroy has helped get Ryder Cup week off to a great start by playing in Europe #39;s win over their US counterparts in the junior event.,1,94
"Clarke leaves India reeling India #39;s batsmen made a less than ideal start to their first innings in Bangalore, losing two wickets for just 34 runs after Australia finished strongly to build a commanding lead.",1,95
"Worldstars play strong defensive game in 5-1 victory over HV 71 JONKOPING, Sweden (CP) - Ray Whitney scored and assisted on Alexandre Daigle #39;s goal as the Worldstars played a strong defensive game in a 5-1 victory over HV 71 on Friday.",1,96
"Wakefield Tabbed for Possible Game 7 Start (AP) AP - Tim Wakefield was still slated to start Game 7 of the AL championship series Wednesday night for the Boston Red Sox, assuming they don't need the knuckleballer to get there.",1,97
"FIFA Fines Italy, Netherlands, France Soccer's governing body Wednesday fined Italy, the Netherlands and France for being too lenient with doping offenders.",1,98
ATP Stockholm Sunday results Thomas Johansson denied top-seeded American Andre Agassi his second title of the year in a riveting three-set match while he collected his second If.,1,99
Sooners Survive Oklahoma wide receiver Mark Clayton scores a touchdown in the fourth quarter of the Sooners #39; 31-21 come-from-behind win over Kansas State Saturday in Manhattan.,1,100
"Oswalt hopes to pull Astros even CBC SPORTS ONLINE - Roger Clemens did his part, now Roy Oswalt - the Houston Astros #39; other ace pitcher -opes to follow his veteran teammate #39;s lead.",1,101
"Bowe Knocks Out Rhode in Second Round (AP) AP - Some in boxing were worried Riddick Bowe would get hurt making a comeback after eight years outside the ring. On Saturday night, he was the one doing the hurting.",1,102
"Blue Jackets re-signs G Denis, RW Vyborny ----- COLUMBUS, Ohio (Ticker) -- The Columbus Blue Jackets retained a pair of players Tuesday, re-signing goaltender Marc Denis and right wing David Vyborny to multi-year contracts.",1,103
"Roddick beats Henman in Texas Andy Roddick squeezed past Britain #39;s Tim Henman 7-5 7-6 at the Masters Cup overnight, giving his fellow Texans the hometown win they came to see.",1,104
"An American to buy Manchester United? A bunch of people want to own the UK #39;s most famous soccer team. One of them also owns an NFL team. By Fiona Maharg-Bravo, Breaking Views.",1,105
"Village #39;s sporting options have hit rock bottom Residents of the remote mountain village in northern India recently conducted their 100th annual Sati Pradha Mela competition, in which the residents divide into two teams and conduct a crude version of dodgeball.",1,106
"Colorado Rockies pitcher Denny Neagle cited for solicitation Colorado Rockies pitcher Denny Neagle was cited Friday for solicitation after a woman in his car said he paid her \$40 for oral sex, police said.",1,107
"R. Clemens, P HOUSTON (Ticker) -- The Houston Astros can end their postseason struggles vs. the Atlanta Braves and reach the National League Championship Series for the first time since 1980 with a win at home Sunday.",1,108
"Brooks, Stallworth get it done late NEW ORLEANS - The New Orleans Saints dodged a hurricane and the San Francisco 49ers and survived the loss of their biggest offensive weapon - Deuce McAllister.",1,109
"Nixon is still in Garciaparra's corner Among other things left behind by Nomar Garciaparra is his summer baseball camp at Stonehill College, but another member of the Red Sox already has plans to take over next year.",1,110
"Clinton Morrison sidelined with knee injury Ireland and Birmingham City striker Clinton Morrison needs knee surgery and will be sidelined for a month, his Premier League club said Monday.",1,111
Friday #39;s Sports In Brief Baltimore Ravens running back Jamal Lewis was suspended for two games by the NFL for violating the league #39;s substance abuse policy.,1,112
Ebersol Survives Crash NBC Sports Chairman Dick Ebersol survives a plane crash in southwestern Colorado on Sunday.,1,113
"Tennis: Davis Cup proves Hewitt #39;s home court PERTH, Australia Lleyton Hewitt broke a 56-year-old Australian Davis Cup record on Friday, helping the home side to a 2-0 lead over an injury-depleted Morocco in their World Group qualifier.",1,114
"NBA, NBRA Approve Collective Bargaining Agreement  NEW YORK (Sports Network) - The NBA has entered into a new  five-year collective bargaining agreement with the National  Basketball Referees Association (NBRA), thus eliminating the  possibility of having replacement officials work the upcoming  season.",1,115
"Americans bounce back Athens -- Allen Iverson scored 17 points, even with the broken thumb on his shooting hand, as the United States rebounded from a shocking opening-game loss to beat Greece 77-71 at the men #39;s Olympic basketball tournament yesterday. ",1,116
FA charges Keegan with abusive behavior Manchester City manager Kevin Keegan was charged by the Football Association on Tuesday with verbally abusing the referee following his side #39;s 4-3 defeat to Newcastle.,1,117
"McNair sits, but hope stands The Tennessee Titans have a simple rule: If Steve McNair feels he can play injured, discussion over.",1,118
Double the delight for Fleming CHITTAGONG: A double century from Stephen Fleming placed New Zealand in a prime position heading into the third day of the second cricket test against Bangladesh tonight.,1,119
POLICE TO WARN ARSENAL  amp; MAN U PLAYERS POLICE will visit the dressing-rooms of Manchester United and Arsenal to lay down the law before their grudge match tomorrow. Both teams will be warned  quot;in no uncertain terms ,1,120
Trail Blazers Defeat Bucks 110-98 (AP) AP - Damon Stoudamire scored 33 points and Zach Randolph added 22 points and 18 rebounds to lead the Portland Trail Blazers to a 110-98 victory Friday night over the Milwaukee Bucks.,1,121
"Sox slap a high-five for beating ChiSox After tiptoeing through a minefield of controversy, upheaval and unexpected mediocrity for more than three months, the Red Sox stats, schedule finally have their strut back.",1,122
"Suns Tops in West Using what he learned from Italy's pro league, Mike D'Antoni has installed a run-and-gun offense that has Phoenix trampling opponents.",1,123
"Ohio St. Extends Matta's Contract, Bans Postseason Play  COLUMBUS, Ohio (Sports Network) - Ohio State athletic  director Andy Geiger announced a one-year contract extension  for men's head basketball coach Thad Matta as a direct result  of the school imposing a ban on postseason play for 2004-05.",1,124
"MOE WILLIAMS 17 YD PASS FROM DAUNTE CULPEPPER (MORTEN ANDERSEN &lt;b&gt;...&lt;/b&gt; Shootouts usually come down to who has the ball at the end. This one came down to who had it at the bottom. Minnesota #39;s Derek Ross and Green Bay #39;s Ben Steele, who had been cut by the ",1,125
Rafa: There is light after Stevie Liverpool manager Rafael Benitez believes his team will be able to deal with the loss of influential skipper Steven Gerrard without much fuss over the next eight weeks.,1,126
Argentina topples NBA stars ATHENS -- Bronze is the best the American men can do in basketball and the reason is simple: A hastily assembled assortment of NBA stars couldn #39;t beat a better team -- Argentina.,1,127
"Pakistan v West Indies scoreboard  Cricket-Inzamam gamble fails as West Indies rout Pakistan September 22, 2004 12:32:48 SOUTHAMPTON, England, Sept 22 (Reuters) - Pakistan captain Inzamam-ul-Haq gambled and lost on Wednesday as his team were routed by West Indies for 131 from 38.",1,128
Giants Tie Astros for Wild Card With Win (AP) AP - Jerome Williams pitched seven strong innings in his first start in two months and the San Francisco Giants jumped back into a tie for the wild-card lead by beating the San Diego Padres 4-1 on Thursday night.,1,129
Rijkaard lauds Larsson Barcelona coach Frank Rijkaard praised Henrik Larsson #39;s contribution as the striker scored on his return to Parkhead in the 3-1 win over Celtic.,1,130
"Portis leads way with 148 yards rushing All it took was some red socks and a load of work to get Clinton Portis and the Redskins past the 20-point barrier. Marginalized during the team #39;s three-game losing streak, Portis got the ball early and often.",1,131
French Formula One Driver Panis to Retire from Grand Prix French Formula One driver Olivier Panis says that he will retire from the Grand Prix circuit at the end of this season but will stay with the Toyota team as an advisor.,1,132
"Federer races to opening win Roger Federer hadn #39;t played anybody for keeps in six weeks. So, even though he #39;d been routinely putting in four-hour training sessions after he arrived at Westside Tennis Club last week, a measure of apprehension lingered.",1,133
WHY DO ARSENAL PLAYERS PICK ON LAUREN? PATRICK VIEIRA insists his bust-up with Lauren will not damage Arsenal #39;s Premiership title challenge and maintains there is no dressing-room split at Highbury.,1,134
Philly Folly on Packers' Minds (AP) AP - So much of the Green Bay Packers' season has been predicated on fixing what went wrong on their infamous fourth-and-26 failure in Philadelphia.,1,135
"Gopher trio is golden The Harvard women's hockey team faced the question every top team in the nation will try to answer this season: How to stop Minnesota's quick-shooting, sharp-skating top line.",1,136
"NHL overstated losses, report says While the audit released last February found the league lost \$274 million in the 2002-03 hockey season, Forbes pegged losses that year at just \$123 million, a massive and contentious discrepancy in the two-month-old lockout of the 750-member NHL Players ",1,137
Jamie Squire/Getty Images The Eagles don #39;t have much experience coming back after a bad loss under coach Andy Reid. Their only noteworthy losses seem to come in the NFC Championship Game.,1,138
"Brad-shock for England London: In a pulsating finish played in poor light, West Indies lifted the ICC Champions Trophy defeating England by two wickets with seven balls remaining at the Oval on Saturday.",1,139
"Michael Phelps Wins Second Gold Medal (AP) AP - Michael Phelps, denied in his bid to win seven gold medals, picked up his second victory of the Athens Games by winning the 200-meter butterfly Tuesday night in Olympic-record time. Phelps fell just short of his own world record, holding off Takashi Yamamoto to win in 1 minute, 54.01 seconds. The hard-charging Japanese swimmer took silver in 1:54.56, while Great Britain's Stephen Parry won bronze in 1:55.22.",1,140
"NFL Game Summary - Oakland at San Diego San Diego head coach Marty Schottenheimer improved to 22-7 in his career against Oakland...Tomlinson surpassed Chuck Muncie, who ran for 43 touchdowns from 1980-84...Brees finished one TD pass shy of Dan Fouts #39; club record of six, set against the Raiders ",1,141
"Gardenhire Surprised by Song Fuss (AP) AP - Minnesota manager Ron Gardenhire still is surprised over the fuss made last year when he said a long version ""God Bless America"" may have affected Twins pitcher Brad Radke in Game 2 of the playoff series against the New York Yankees.",1,142
Cavs #39; Williams Is Catching On The Virginia Cavaliers were in the midst of what would become a blowout victory at Western Michigan last season when rookie wide receiver Deyon Williams came to the line of ,1,143
"Bowden Bowl not fun for the Bowdens When Clemson finally beat Florida State in an Atlantic Coast Conference game last season, Tommy Bowden #39;s celebration was noticeably subdued.",1,144
Uefa backs local talent Football teams would have to include a minimum number of  #39;homegrown #39; players under new proposals announced by the Uefa chief executive today.,1,145
"Crisp Sparks Indians Coco Crisp's hustling RBI bunt single in the eighth inning pushed the Indians past the Yankees, 4-3, on Wednesday night, ending Cleveland's nine-game losing streak.",1,146
"Sinden: Owners in lockstep on lockout Harry Sinden didn't want to say,  quot;I told you so, quot; because he didn't see there was anything to be gained from it.",1,147
"Offense at fault in Skins #39; skid The good news for coach Joe Gibbs and the Washington Redskins is that despite scoring just 10 points Sunday night against Baltimore and 13 against Cleveland the previous Sunday, the Redskins are not last in the NFL in points scored.",1,148
"Schumi seals seventh title SPA-FRANCORCHAMPS, AUGUST 29: Michael Schumacher claimed a seventh world championship despite only finishing second behind Kimi Raikkonen at an incident-filled Belgian Grand Prix on Sunday.",1,149
Giants Slip and Vanish in a Torrent of Turnovers The Giants coughed up three straight second-quarter turnovers and dissolved in a torrent of penalties in a baffling loss at Giants Stadium.,1,150
